alpine,242.37G,rsync://mirrors.tuna.tsinghua.edu.cn/alpine/
anaconda,223.53G,rsync://mirrors.tuna.tsinghua.edu.cn/anaconda/
antergos,5.32G,rsync://mirrors.tuna.tsinghua.edu.cn/antergos/
anthon,359.21G,rsync://mirrors.tuna.tsinghua.edu.cn/anthon/
apache,122.37G,rsync://mirrors.tuna.tsinghua.edu.cn/apache/
arch4edu,3.21G,rsync://mirrors.tuna.tsinghua.edu.cn/arch4edu/
archlinux,62.87G,rsync://mirrors.tuna.tsinghua.edu.cn/archlinux/
archlinuxarm,75.34G,rsync://mirrors.tuna.tsinghua.edu.cn/archlinuxarm/
archlinuxcn,24.72G,rsync://mirrors.tuna.tsinghua.edu.cn/archlinuxcn/
bananian,2.94G,rsync://mirrors.tuna.tsinghua.edu.cn/bananian/
bjlx,5.85G,rsync://mirrors.tuna.tsinghua.edu.cn/bjlx/
blackarch,24.07G,rsync://mirrors.tuna.tsinghua.edu.cn/blackarch/
centos,169.23G,rsync://mirrors.tuna.tsinghua.edu.cn/centos/
ceph,619.62G,rsync://mirrors.tuna.tsinghua.edu.cn/ceph/
chakra,59.73G,rsync://mirrors.tuna.tsinghua.edu.cn/chakra/
CRAN,143.64G,rsync://mirrors.tuna.tsinghua.edu.cn/CRAN/
CTAN,32.47G,rsync://mirrors.tuna.tsinghua.edu.cn/CTAN/
ctex,4.35G,rsync://mirrors.tuna.tsinghua.edu.cn/ctex/
cygwin,79.09G,rsync://mirrors.tuna.tsinghua.edu.cn/cygwin/
debian,1.32T,rsync://mirrors.tuna.tsinghua.edu.cn/debian/
debian-cd,216.40G,rsync://mirrors.tuna.tsinghua.edu.cn/debian-cd/
debian-multimedia,11.87G,rsync://mirrors.tuna.tsinghua.edu.cn/debian-multimedia/
debian-nonfree,60.35G,rsync://mirrors.tuna.tsinghua.edu.cn/debian-nonfree/
debian-security,115.36G,rsync://mirrors.tuna.tsinghua.edu.cn/debian-security/
deepin,292.82G,rsync://mirrors.tuna.tsinghua.edu.cn/deepin/
deepin-cd,21.78G,rsync://mirrors.tuna.tsinghua.edu.cn/deepin-cd/
dell,178.89G,rsync://mirrors.tuna.tsinghua.edu.cn/dell/
docker,1.81G,rsync://mirrors.tuna.tsinghua.edu.cn/docker/
dotdeb,14.72G,rsync://mirrors.tuna.tsinghua.edu.cn/dotdeb/
ELK,4.27G,rsync://mirrors.tuna.tsinghua.edu.cn/ELK/
elpa,646.58M,rsync://mirrors.tuna.tsinghua.edu.cn/elpa/
elrepo,45.45G,rsync://mirrors.tuna.tsinghua.edu.cn/elrepo/
elvish,34.80M,rsync://mirrors.tuna.tsinghua.edu.cn/elvish/
epel,225.04G,rsync://mirrors.tuna.tsinghua.edu.cn/epel/
fedora,1.26T,rsync://mirrors.tuna.tsinghua.edu.cn/fedora/
gentoo,390.41G,rsync://mirrors.tuna.tsinghua.edu.cn/gentoo/
gentoo-portage,249.72M,rsync://mirrors.tuna.tsinghua.edu.cn/gentoo-portage/
gitlab-ce,305.96G,rsync://mirrors.tuna.tsinghua.edu.cn/gitlab-ce/
gitlab-ci-multi-runner,10.72G,rsync://mirrors.tuna.tsinghua.edu.cn/gitlab-ci-multi-runner/
gnu,59.52G,rsync://mirrors.tuna.tsinghua.edu.cn/gnu/
grafana,1.41G,rsync://mirrors.tuna.tsinghua.edu.cn/grafana/
hackage,7.91G,rsync://mirrors.tuna.tsinghua.edu.cn/hackage/
homebrew-bottles,271.52G,rsync://mirrors.tuna.tsinghua.edu.cn/homebrew-bottles/
infinality-bundle,1.05G,rsync://mirrors.tuna.tsinghua.edu.cn/infinality-bundle/
influxdata,2.09G,rsync://mirrors.tuna.tsinghua.edu.cn/influxdata/
ius,153.14G,rsync://mirrors.tuna.tsinghua.edu.cn/ius/
jenkins,69.15G,rsync://mirrors.tuna.tsinghua.edu.cn/jenkins/
kali,347.94G,rsync://mirrors.tuna.tsinghua.edu.cn/kali/
kali-images,55.22G,rsync://mirrors.tuna.tsinghua.edu.cn/kali-images/
kali-security,1.30K,rsync://mirrors.tuna.tsinghua.edu.cn/kali-security/
kernel,361.91G,rsync://mirrors.tuna.tsinghua.edu.cn/kernel/
kodi,85.77G,rsync://mirrors.tuna.tsinghua.edu.cn/kodi/
linuxmint,27.33G,rsync://mirrors.tuna.tsinghua.edu.cn/linuxmint/
linuxmint-cd,224.03G,rsync://mirrors.tuna.tsinghua.edu.cn/linuxmint-cd/
loongson,15.69G,rsync://mirrors.tuna.tsinghua.edu.cn/loongson/
lxc-images,29.43G,rsync://mirrors.tuna.tsinghua.edu.cn/lxc-images/
macports,803.55G,rsync://mirrors.tuna.tsinghua.edu.cn/macports/
mageia,383.42G,rsync://mirrors.tuna.tsinghua.edu.cn/mageia/
manjaro,55.86G,rsync://mirrors.tuna.tsinghua.edu.cn/manjaro/
manjaro-cd,69.62G,rsync://mirrors.tuna.tsinghua.edu.cn/manjaro-cd/
mariadb,169.97G,rsync://mirrors.tuna.tsinghua.edu.cn/mariadb/
mongodb,8.58G,rsync://mirrors.tuna.tsinghua.edu.cn/mongodb/
msys2,104.55G,rsync://mirrors.tuna.tsinghua.edu.cn/msys2/
mysql,519.56G,rsync://mirrors.tuna.tsinghua.edu.cn/mysql/
NetBSD,402.96G,rsync://mirrors.tuna.tsinghua.edu.cn/NetBSD/
neurodebian,56.40G,rsync://mirrors.tuna.tsinghua.edu.cn/neurodebian/
nodesource,133.06G,rsync://mirrors.tuna.tsinghua.edu.cn/nodesource/
OpenBSD,333.74G,rsync://mirrors.tuna.tsinghua.edu.cn/OpenBSD/
opensuse,715.02G,rsync://mirrors.tuna.tsinghua.edu.cn/opensuse/
openwrt,74.08G,rsync://mirrors.tuna.tsinghua.edu.cn/openwrt/
osmc,51.77G,rsync://mirrors.tuna.tsinghua.edu.cn/osmc/
packman,110.70G,rsync://mirrors.tuna.tsinghua.edu.cn/packman/
parrot,269.85G,rsync://mirrors.tuna.tsinghua.edu.cn/parrot/
percona,74.60G,rsync://mirrors.tuna.tsinghua.edu.cn/percona/
postgresql,131.28G,rsync://mirrors.tuna.tsinghua.edu.cn/postgresql/
puppy,78.02G,rsync://mirrors.tuna.tsinghua.edu.cn/puppy/
qt,1.09T,rsync://mirrors.tuna.tsinghua.edu.cn/qt/
raspbian,312.65G,rsync://mirrors.tuna.tsinghua.edu.cn/raspbian/
redhat,2.91T,rsync://mirrors.tuna.tsinghua.edu.cn/redhat/
remi,26.98G,rsync://mirrors.tuna.tsinghua.edu.cn/remi/
repo-ck,1.97G,rsync://mirrors.tuna.tsinghua.edu.cn/repo-ck/
repoforge,62.29G,rsync://mirrors.tuna.tsinghua.edu.cn/repoforge/
ros,84.73G,rsync://mirrors.tuna.tsinghua.edu.cn/ros/
rpmfusion,329.82G,rsync://mirrors.tuna.tsinghua.edu.cn/rpmfusion/
sagemath,157.25G,rsync://mirrors.tuna.tsinghua.edu.cn/sagemath/
slackware,130.81G,rsync://mirrors.tuna.tsinghua.edu.cn/slackware/
slackwarearm,27.82G,rsync://mirrors.tuna.tsinghua.edu.cn/slackwarearm/
steamos,103.82G,rsync://mirrors.tuna.tsinghua.edu.cn/steamos/
termux,749.67M,rsync://mirrors.tuna.tsinghua.edu.cn/termux/
ubuntu,1.10T,rsync://mirrors.tuna.tsinghua.edu.cn/ubuntu/
ubuntu-cdimage,553.27G,rsync://mirrors.tuna.tsinghua.edu.cn/ubuntu-cdimage/
ubuntu-cloud-images,315.49G,rsync://mirrors.tuna.tsinghua.edu.cn/ubuntu-cloud-images/
ubuntu-ports,1.47T,rsync://mirrors.tuna.tsinghua.edu.cn/ubuntu-ports/
ubuntu-releases,28.15G,rsync://mirrors.tuna.tsinghua.edu.cn/ubuntu-releases/
videolan-ftp,44.44G,rsync://mirrors.tuna.tsinghua.edu.cn/videolan-ftp/
virtualbox,40.58G,rsync://mirrors.tuna.tsinghua.edu.cn/virtualbox/